system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,lat,lon,loss,lossyear,treecover2000,.geo
23371,6,6,6,6,6,6,1,0,23371,-21.613710505162786,166.08065,0,,55,"{""type"":""Point"",""coordinates"":[166.08065,-21.613710505162786]}"
23372,6,6,6,6,6,6,1,0,23372,-21.78240050516064,165.87704978340116,0,,47,"{""type"":""Point"",""coordinates"":[165.87704978340116,-21.78240050516064]}"
23373,1,1,2,2,2,2,1,0,23373,-21.61424949433496,166.0809398767978,0,,52,"{""type"":""Point"",""coordinates"":[166.0809398767978,-21.614249494334963]}"
23374,6,6,6,6,4,4,1,0,23374,-21.61398,166.0809398767978,0,,55,"{""type"":""Point"",""coordinates"":[166.0809398767978,-21.613980000000005]}"
23375,6,6,6,6,6,6,1,0,23375,-21.613710505162786,166.0809398767978,0,,58,"{""type"":""Point"",""coordinates"":[166.0809398767978,-21.613710505162786]}"
23376,6,6,6,6,6,6,1,0,23376,-21.61424949433496,166.08036012320215,0,,37,"{""type"":""Point"",""coordinates"":[166.08036012320215,-21.61424949433496]}"
23377,6,6,6,6,6,6,1,0,23377,-21.78293949433278,165.87734,0,,16,"{""type"":""Point"",""coordinates"":[165.87734,-21.78293949433278]}"
23378,6,6,6,6,6,6,1,0,23378,-21.78267,165.87734,0,,37,"{""type"":""Point"",""coordinates"":[165.87734,-21.782670000000003]}"
23379,6,6,6,6,6,6,1,0,23379,-21.61398,166.08036012320215,0,,24,"{""type"":""Point"",""coordinates"":[166.08036012320215,-21.613980000000005]}"
23380,6,6,6,6,6,6,1,0,23380,-21.613710505162786,166.08036012320215,0,,20,"{""type"":""Point"",""coordinates"":[166.08036012320215,-21.61371050516279]}"
23381,6,6,6,6,6,6,1,0,23381,-21.61424949433496,166.08065,0,,62,"{""type"":""Point"",""coordinates"":[166.08065,-21.61424949433496]}"
23382,6,6,6,6,6,6,1,0,23382,-21.61398,166.08065,0,,67,"{""type"":""Point"",""coordinates"":[166.08065,-21.613979999999998]}"
23383,6,6,6,6,6,6,1,0,23383,-21.78240050516064,165.87734,0,,37,"{""type"":""Point"",""coordinates"":[165.87734,-21.78240050516064]}"
23384,6,6,6,6,6,6,1,0,23384,-21.78293949433278,165.87763021659885,0,,16,"{""type"":""Point"",""coordinates"":[165.87763021659885,-21.78293949433278]}"
23385,6,6,6,6,6,6,1,0,23385,-21.78267,165.87763021659885,0,,37,"{""type"":""Point"",""coordinates"":[165.87763021659885,-21.782670000000003]}"
23386,6,6,6,6,6,6,1,0,23386,-21.44201949433717,165.46332046672782,0,,0,"{""type"":""Point"",""coordinates"":[165.46332046672782,-21.44201949433717]}"
