system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,loss,lossyear,treecover2000,.geo
157,1,1,1,1,1,1,1,0,157,0,,98,"{""type"":""Point"",""coordinates"":[165.30867251493189,-21.41771349433749]}"
158,1,1,1,1,1,1,1,0,158,0,,98,"{""type"":""Point"",""coordinates"":[165.30867251493189,-21.41744400000002]}"
159,1,1,1,1,1,1,1,0,159,0,,97,"{""type"":""Point"",""coordinates"":[165.30867251493189,-21.417174505165317]}"
160,1,1,3,3,4,4,1,0,160,1,3,90,"{""type"":""Point"",""coordinates"":[165.30881234408525,-21.34642749433839]}"
161,1,1,3,3,4,4,1,0,161,0,,90,"{""type"":""Point"",""coordinates"":[165.30881234408525,-21.346158000000003]}"
162,1,1,3,3,4,4,1,0,162,1,5,90,"{""type"":""Point"",""coordinates"":[165.30881234408525,-21.345888505166247]}"
163,1,1,1,1,1,1,1,0,163,1,12,97,"{""type"":""Point"",""coordinates"":[165.308962,-21.41771349433749]}"
164,1,1,1,1,1,1,1,0,164,1,12,97,"{""type"":""Point"",""coordinates"":[165.308962,-21.41744400000002]}"
165,1,1,1,1,1,1,1,0,165,1,12,97,"{""type"":""Point"",""coordinates"":[165.308962,-21.417174505165317]}"
166,1,1,1,1,1,1,1,0,166,0,,95,"{""type"":""Point"",""coordinates"":[165.3092514850681,-21.41771349433749]}"
167,1,1,1,1,1,1,1,0,167,0,,95,"{""type"":""Point"",""coordinates"":[165.3092514850681,-21.41744400000002]}"
168,1,1,1,1,1,1,1,0,168,0,,97,"{""type"":""Point"",""coordinates"":[165.3092514850681,-21.417174505165317]}"
169,1,1,3,3,4,4,1,0,169,0,,90,"{""type"":""Point"",""coordinates"":[165.30999363291053,-21.358079494338245]}"
170,1,1,3,3,4,4,1,0,170,1,5,97,"{""type"":""Point"",""coordinates"":[165.30999363291053,-21.35781]}"
171,1,1,3,3,4,4,1,0,171,1,5,64,"{""type"":""Point"",""coordinates"":[165.30999363291053,-21.357540505166085]}"
172,1,1,3,3,4,4,1,0,172,0,,90,"{""type"":""Point"",""coordinates"":[165.310283,-21.358079494338245]}"
173,1,1,3,3,4,4,1,0,173,1,5,90,"{""type"":""Point"",""coordinates"":[165.310283,-21.35781]}"
174,1,1,3,3,4,4,1,0,174,1,5,90,"{""type"":""Point"",""coordinates"":[165.310283,-21.357540505166085]}"
175,1,1,1,1,1,1,1,0,175,1,5,90,"{""type"":""Point"",""coordinates"":[165.31057236708946,-21.358079494338245]}"
176,1,1,1,1,1,1,1,0,176,0,,79,"{""type"":""Point"",""coordinates"":[165.31057236708946,-21.35781]}"
177,1,1,3,3,4,4,1,0,177,1,5,97,"{""type"":""Point"",""coordinates"":[165.31057236708946,-21.357540505166085]}"
178,1,1,3,3,4,4,1,0,178,1,5,97,"{""type"":""Point"",""coordinates"":[165.31144163184604,-21.35861849433823]}"
179,1,1,3,3,4,4,1,0,179,0,,89,"{""type"":""Point"",""coordinates"":[165.31144163184604,-21.358349000000008]}"
180,1,1,3,3,3,3,1,0,180,0,,78,"{""type"":""Point"",""coordinates"":[165.31144163184604,-21.358079505166092]}"
181,1,1,3,3,4,4,1,0,181,1,5,97,"{""type"":""Point"",""coordinates"":[165.311731,-21.35861849433823]}"
182,1,1,3,3,3,4,1,0,182,1,5,97,"{""type"":""Point"",""coordinates"":[165.311731,-21.358349000000008]}"
183,1,1,3,3,4,4,1,0,183,0,,82,"{""type"":""Point"",""coordinates"":[165.311731,-21.358079505166092]}"
184,1,1,3,3,4,4,1,0,184,1,5,97,"{""type"":""Point"",""coordinates"":[165.312020368154,-21.35861849433823]}"
185,1,1,3,3,4,4,1,0,185,1,5,97,"{""type"":""Point"",""coordinates"":[165.312020368154,-21.358349000000008]}"
186,1,1,3,3,3,3,1,0,186,0,,89,"{""type"":""Point"",""coordinates"":[165.312020368154,-21.358079505166092]}"
